Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.63394184,1.40008916212;"{""type"": ""LineString"", ""coordinates"": [[1.399988152255195, 43.63400841345983], [1.400079437263261, 43.633976763787444], [1.400166570815885, 43.63384487857784]]}";PL DES PASSEMENTIERS;PASSEMENTIERS (PL DES PASSEMENTIERS);11224;11224;BLAGNAC;31069;310690000307;3100690740;24;Zone de Rencontre;;2014-02-28T01:00:00+01:00;2014;Ouest;;;
43.6345342486,1.40001245235;"{""type"": ""LineString"", ""coordinates"": [[1.399733991329214, 43.634515896690374], [1.399808640966075, 43.634490021600776], [1.400032103476877, 43.634527817297936], [1.400290176025166, 43.63460185758123]]}";IMP SAINT JACQUES;JACQUES (IMP SAINT JACQUES);11964;11964;BLAGNAC;31069;310690000374;3100690960;47;Zone de Rencontre;;2014-02-28T01:00:00+01:00;2014;Ouest;;;
43.6343649409,1.39983190765;"{""type"": ""LineString"", ""coordinates"": [[1.399733991329214, 43.634515896690374], [1.399929823963435, 43.63421398511517]]}";RUE DU VIEUX BLAGNAC;BLAGNAC (RUE DU VIEUX BLAGNAC);13952;13952;BLAGNAC;31069;310690000055;3100691090;37;Zone de Rencontre;;2014-02-28T01:00:00+01:00;2014;Ouest;;;
43.6339341951,1.39990334359;"{""type"": ""LineString"", ""coordinates"": [[1.399988152255195, 43.63400841345983], [1.39981853493355, 43.633859976719116]]}";RUE DU VIEUX BLAGNAC;BLAGNAC (RUE DU VIEUX BLAGNAC);13963;13963;BLAGNAC;31069;310690000055;3100691090;21;Zone de Rencontre;;2014-02-28T01:00:00+01:00;2014;Ouest;;;
43.6040999588,1.44123401666;"{""type"": ""LineString"", ""coordinates"": [[1.440687953881485, 43.60402794386686], [1.441082968577684, 43.604080273099335], [1.44145845177379, 43.604132436657], [1.441780862000416, 43.60416526669867]]}";RUE DES JACOBINS;JACOBINS (RUE DES JACOBINS);3147;3 147;TOULOUSE;31555;315553574402;3105554392;89;Zone de Rencontre;15/025;2015-03-06T01:00:00+01:00;2015;Centre;oui;;
43.5980410917,1.44581584591;"{""type"": ""LineString"", ""coordinates"": [[1.445541405225777, 43.598024266974214], [1.446090286594582, 43.59805791648021]]}";RUE DU CANARD;CANARD (RUE DU CANARD);5274;5274;TOULOUSE;31555;315551372811;3105551612;44;Zone de Rencontre;15/067;2015-05-18T02:00:00+02:00;2015;Centre;oui;oui;
43.5970700037,1.44910058348;"{""type"": ""LineString"", ""coordinates"": [[1.448212619508733, 43.5974236493098], [1.448435470797566, 43.59731943197152], [1.448847590644206, 43.59718264524716], [1.449169060794503, 43.597100014310996], [1.449509799943228, 43.59685952350738], [1.44962201268981, 43.59684242990001], [1.449979473295721, 43.59670331256633]]}";RUE NEUVE;NEUVE (RUE NEUVE);5410;5410;TOULOUSE;31555;315554924829;3105556252;166;Zone de Rencontre;15/068;2015-05-18T02:00:00+02:00;2015;Centre;oui;oui;
43.5953588458,1.44834825754;"{""type"": ""LineString"", ""coordinates"": [[1.448200917133202, 43.59532032348016], [1.448377464128099, 43.59535386897439], [1.448484466377603, 43.59542473170224]]}";RUE ESCOUS. MONTGAILLARD;MONTGAILLARD (RUE ESCOUS. MONTGAILLARD);6213;6213;TOULOUSE;31555;315552614440;3105553060;26;Zone de Rencontre;15/068;2015-05-18T02:00:00+02:00;2015;Centre;oui;oui;
43.5959307403,1.44776491376;"{""type"": ""LineString"", ""coordinates"": [[1.44754069377773, 43.595948095607554], [1.447740279372635, 43.595920339296775], [1.447989991413836, 43.59593553988838]]}";RUE CAMINADE;CAMINADE (RUE CAMINADE);6216;6216;TOULOUSE;31555;315551344020;3105551588;37;Zone de Rencontre;15/068;2015-05-18T02:00:00+02:00;2015;Centre;;;
43.5967505437,1.45003084369;"{""type"": ""LineString"", ""coordinates"": [[1.449979473295721, 43.59670331256633], [1.450082214087465, 43.596797774778466]]}";RUE MONTOULIEU VELANE;VELANE (RUE MONTOULIEU VELANE);5413;5413;TOULOUSE;31555;315554774446;3105556080;13;Zone de Rencontre;15/068;2015-05-18T02:00:00+02:00;2015;Centre;oui;oui;
