Street;Motdir;Commune;"Code
Insee";"Date
Comptage";Année;Section;Sens de comptage;"Voie en
Sens unique";Type;"Moyenne
Jours ouvrés par semaine "
RUE PICHOUNELLE;PICHOUNELLE (RUE PICHOUNELLE);Saint-Jory;31490;2018-05-15;2018.0;ENTRE CHE DE LA PLAINE ET RU EVENDINELLE;VERS CHE DE LA PLAINE;;TV;237.0
CHE DE L AUTAN;AUTAN (CHE DE L AUTAN);Aigrefeuille;31003;2018-05-15;2018.0;ENTRE ALL FENAISONS ET ALL MOISSONS;VERS CHE DE QUINT;;TV;169.0
RUE DE FENOUL;FENOUL (RUE DE FENOUL);Toulouse;31555;2018-06-16;2018.0;;;oui;YV;170.0
ALL JEAN DUFOUR;DUFOUR (ALL JEAN DUFOUR);Colomiers;31149;2018-08-10;2018.0;ENTRE AV JAMBON ET ALL HUGO;VERS AV JAMBON;;TV;134.0
RUE DU PROFESSEUR JAMMES;JAMMES (RUE DU PROFESSEUR JAMMES);Toulouse;31555;2018-09-18;2018.0;ENTRE RUE GUTENBERG ET AV DES MINIMES;VERS AV DES MINIMES;oui;TV;244.0
RUE JEAN MILLET;MILLET (RUE JEAN MILLET);Toulouse;31555;2018-09-18;2018.0;ENTRE RUE CHAUSSAS ET RU SALAMBI;VERS RUE SANG DE SERP;;TV;357.0
RUE ADONIS;ADONIS (RUE ADONIS);Toulouse;31555;2018-09-19;2018.0;ENTRE RUE ROBERT ET AV DES ETATS UNIS;VERS AV DES ETATS UNIS;oui;TV;756.0
AV DE LARDENNE;LARDENNE (AV DE LARDENNE);Toulouse;31555;2018-10-03;2018.0;ENTRE RUE MOLETTE ET CHE CATALA;VERS CHE SAVIT;;TV;5289.0
RUE NICOLAS L VAUQUELIN;VAUQUELIN (RUE NICOLAS L VAUQUELIN);Toulouse;31555;2018-11-08;2018.0;ENTRE AV DE TABAR ET AV DE REYNERIE;VERS AV DE REYNERIE;oui;TV;389.0
RUE GOUDOULI;GOUDOULI (RUE GOUDOULI);Toulouse;31555;2018-10-15;2018.0;ENTRE AV CRAMPEL ET RUE DEODORA;VERS RUE DEODORA;;TV;516.0
ALL MAURICE MAGRE;MAGRE (ALL MAURICE MAGRE);Colomiers;31149;2018-11-15;2018.0;;VERS GYMNASE;;TV;537.0
RUE DES FONTAINES;FONTAINES (RUE DES FONTAINES);Toulouse;31555;2018-10-15;2018.0;ENTRE RUE POUVILLON ET RUE DES BRAVES;VERS AV JEAN BRUNHES;oui;TV;4066.0
AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);Toulouse;31555;2019-02-11;2019.0;ENTRE RUE ENGALIERES ET RUE FONTENELLE;VERS CHE DE LA BUTTE;;TV;4668.0
AV DE LA GLOIRE;GLOIRE (AV DE LA GLOIRE);Toulouse;31555;2019-02-19;2019.0;ENTRE RUE SOLFERINO ET RUE SAVIGNAC;VERS RUE ASSALIT;;TV;5274.0
ALL DE LA BLANQUETTE;BLANQUETTE (ALL DE LA BLANQUETTE);Colomiers;31149;2017-03-17;2017.0;ENTRE ESP MITTERRAND ET ALL VIGNEMAL;VERS ALL DE GVARNIE;;TV;881.0
CHE DES MAROTS;MAROTS (CHE DES MAROTS);Colomiers;31149;2017-03-17;2017.0;ENTRE ALL DE L'ESQUILLETTE ET ALL VAUCLUSE;VERS ALL DU VAUCLUSE;;TV;295.0
BD PIERRE SEMARD;SEMARD (BD PIERRE SEMARD);Toulouse;31555;2017-04-19;2017.0;ENTRE PONT DU 19 MARS ET  PONT RIQUET;VERS PONT RIQUET;oui;TV;16914.0
RUE FIEUX;FIEUX (RUE FIEUX);Toulouse;31555;2017-04-20;2017.0;2017ENTRE RUE SAINT SAENS ET RUE GAMELIN;VERS RUE SAINT SAENS;;TV;1442.0
RUE D AUBUISSON;AUBUISSON (RUE D AUBUISSON);Toulouse;31555;2017-04-20;2017.0;ENTRE RUE RIQUET ET RUE SAINT AUBIN;VERS BD CARNOT;oui;TV;3417.0
CHE DE GARRIC;GARRIC (CHE DE GARRIC);Toulouse;31555;2017-04-21;2017.0;ENTRE RUE FLOURAC ET CHE ROQUES;VERS RTE DE BLAGNAC;;TV;1474.0
RTE DE FRONTON;FRONTON (RTE DE FRONTON);Aucamville;31022;2017-04-21;2017.0;ENTRE RUE JAURES ET PL NOUGEIN;VERS RUE JAURES;;TV;7681.0
RUE PRINCIPALE;PRINCIPALE (RUE PRINCIPALE);Pibrac;31417;2017-04-21;2017.0;ENTRE RUE DU PRESSOIR ET BD DES ECOLES;VERS AV DE TOULOUSE;;TV;2849.0
RUE DE LA VERGE D OR;OR (RUE DE LA VERGE D OR);Toulouse;31555;2017-05-15;2017.0;ENTRE BD ARCOLE ET RUE ESCOUSSIERE;VERS RUE DES 3 RENARDS;oui;TV;176.0
RUE DE BANDOL;BANDOL (RUE DE BANDOL);L'union;31561;2017-05-22;2017.0;ENTRE CHE DES CHAMPS ET RUE DU LAVANDOU;VERS CHE DES CHAMPS;;TV;107.0
CHE DE BAROUNA;BAROUNA (CHE DE BAROUNA);Aussonne;31032;2017-05-29;2017.0;ENTRE CHE SOULEILH ET RTE DU CHATEAU D'EAU;VERS RTE DCHATEAU D'EAU;;TV;129.0
RTE DE CASTRES;CASTRES (RTE DE CASTRES);Flourens;31184;2017-06-12;2017.0;ENTRE CHE LAIE CISAROL ET CHE DE LA TERRASS;VERS TOULOUSE;;TV;5937.0
DEPARTEMENTALE 63;63 (DEPARTEMENTALE 63);Gagnac-Sur-Garonne;31205;2017-06-12;2017.0;ENTRE SEILH ET LA GARONNE;VERS GAGNAC;;TV;11920.0
RUE DE CARCASSONNE;CARCASSONNE (RUE DE CARCASSONNE);Toulouse;31555;2017-06-21;2017.0;ENTRE RUE DE CASTELNAUDARY ET RUE DE FOIX;LES DEUX SENS;;TV;1891.0
CHE DES ETROITS;ETROITS (CHE DES ETROITS);Toulouse;31555;2017-09-06;2017.0;ENTRE CHE DES CANALETS ET CHE DE RIVALSUPER;VERS  CHE RIVALSUPERVIC;;TV;7066.0
CHE DE LANCEFOC;LANCEFOC (CHE DE LANCEFOC);Flourens;31184;2017-09-06;2017.0;ENTRE CHE PASTEL ET CHE VIGNALIS;VERS CHE DU PASTEL;;TV;1059.0
AV DE GASCOGNE;GASCOGNE (AV DE GASCOGNE);Tournefeuille;31557;2017-09-14;2017.0;ENTRE ALL HIGOUNENG ET CHE PANICARDA;VERS ALL HIGOUNENG;;TV;1793.0
RUE SAINTE CLAIRE;CLAIRE (RUE SAINTE CLAIRE);Toulouse;31555;2017-09-20;2017.0;ENTRE RUE NAVES ET RUE JULIA;VERS RUE RAYMOND NOVES;;TV;415.0
PONT DE BLAGNAC;BLAGNAC (PONT DE BLAGNAC)__TOULOUSE;Toulouse;31555;2017-09-25;2017.0;ENTRE RTE DE BLAGNAC ET AV DE PURPAN;VERS AV DE PURPAN;;TV;5679.0
RTE DE SEYSSES;SEYSSES (RTE DE SEYSSES)_TOULOUSE;Toulouse;31555;2017-09-25;2017.0;ENTRE CHE LESTANG ET CHE VOUET;VERS CHE VOUET;;TV;6592.0
AV DE TOULOUSE;TOULOUSE (AV DE TOULOUSE);Pibrac;31417;2017-09-25;2017.0;ENTRE RN124 ET AV FONVIEILLE;VERS RN 124;;TV;5360.0
ALL DE LA FONTAINE;FONTAINE (ALL DE LA FONTAINE);Colomiers;31149;2017-09-28;2017.0;ENTRE RUE CAYRE ET CHE DU VALLESPIR;VERS RUE CAYRE;;TV;814.0
RUE DES COSMONAUTES;COSMONAUTES (RUE DES COSMONAUTES);Toulouse;31555;2017-11-08;2017.0;ENTRE RUE VILLET ET ALL GRIFON;VERS RUE VILLET;;TV;5475.0
RTE DE LABEGE;LABEGE (RTE DE LABEGE);Toulouse;31555;2017-11-08;2017.0;ENTRE RUE SERVANTY ET RUE NOUADHIBOU;VERS RTE DE REVEL;;TV;4673.0
RUE EMMANUEL CHABRIER;CHABRIER (RUE EMMANUEL CHABRIER);Toulouse;31555;2017-11-16;2017.0;ENTRE CHE DU SANG DE SERP ET RUE BESSEMER;VERS CHE DU SANG DE SERP;;TV;189.0
AV DE FRONTON;FRONTON (AV DE FRONTON);Toulouse;31555;2017-11-27;2017.0;ENTRE RUE LABICHE ET RUE TERRAY;VERS BARRIERE DE PARIS;;TV;3131.0
RTE DE LEVIGNAC;LEVIGNAC (RTE DE LEVIGNAC);Pibrac;31417;2017-11-29;2017.0;ENTRE CHE CRABIE ET AV VERDIER;VERS CHE CRABIE;;TV;2948.0
BD FLORENCE ARTHAUD;ARTHAUD (BD FLORENCE ARTHAUD);Toulouse;31555;2017-12-06;2017.0;ENTRE RUE BLIXEN ET IMP TOCQUEVILLE;VERS BD NETWILLER;;TV;5999.0
RUE MARC SANGNIER;SANGNIER (RUE MARC SANGNIER);Toulouse;31555;2017-12-15;2017.0;ENTRE RUE COLL ET RUE CALMETTE;VERS RUE CALMETTE;oui;TV;681.0
CHE SAINT JAMES;JAMES (CHE SAINT JAMES);Cornebarrieu;31150;2018-01-10;2018.0;COTE RTE DE MONDONVILLE;VERS RTE DE MONDONVILLE;;TV;127.0
RUE JOSEPH KESSEL;KESSEL (RUE JOSEPH KESSEL);Blagnac;31069;2018-01-10;2018.0;ENTRE ALL MURIERS ET RUE PAGNOL;VERS ALL DES MURIERS;;TV;125.0
RUE TINO ROSSI;ROSSI (RUE TINO ROSSI);Toulouse;31555;2017-01-16;2017.0;ENTRE RUE SIGNORETE ET PL THILL;VERS RTE SAINT SIMON;oui;TV;275.0
CHE DES BOURDETS;BOURDETS (CHE DES BOURDETS);Tournefeuille;31557;2017-01-13;2017.0;ENTRE CHE PAHIN ET CHE ARMAGNAC;VERS CHE ARMAGNAC;;TV;223.0
RUE SIMONE SIGNORET;SIGNORET (RUE SIMONE SIGNORET);Toulouse;31555;2017-01-16;2017.0;ENTRE RUE PEDRICO ET IMP DEOUME;VERS RUE PEDRICO;;TV;95.0
CHE DES BOURDETTES;BOURDETTES (CHE DES BOURDETTES);Cugnaux;31157;2016-10-06;2016.0;ENTRE RUE DES TROUBADOURS ET RTE DE TOULOUS;VERS RTE DE TOULOUSE;;TV;608.0
RUE ARISTIDE BERGES;BERGES (RUE ARISTIDE BERGES);Cugnaux;31157;2016-10-06;2016.0;ENTRE RUE PLANTE ET RUE SABATIER;VERS RTE DE TOULOUSE;;TV;1958.0
