Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.5932516024,1.44620749338;"{""type"": ""LineString"", ""coordinates"": [[1.445968782242646, 43.59319576685855], [1.446153206682855, 43.59322465053602], [1.44644063128918, 43.59332908912379]]}";ALL JULES GUESDE;GUESDE (ALL JULES GUESDE);8127;8127;TOULOUSE;31555;315553363223;3105554812;41;Aire Pietonne;13/227;2013-12-27T01:00:00+01:00;2013;Centre;oui;oui;
43.5947392119,1.45041087349;"{""type"": ""LineString"", ""coordinates"": [[1.449237699893296, 43.594318934144894], [1.451584047089589, 43.59515948975196]]}";ALL JULES GUESDE;GUESDE (ALL JULES GUESDE);5261;5261;TOULOUSE;31555;315553363223;3105554812;211;Aire Pietonne;13/227;2013-12-27T01:00:00+01:00;2013;Centre;;;
43.6029798274,1.44496756109;"{""type"": ""LineString"", ""coordinates"": [[1.444824423965285, 43.602974444876054], [1.445110698213905, 43.60298520988848]]}";PL ROGER SALENGRO;SALENGRO (PL ROGER SALENGRO);4969;4969;TOULOUSE;31555;315556438433;3105557572;23;Aire Pietonne;15/073;2015-06-08T02:00:00+02:00;2015;Centre;oui;oui;
43.6100290739,1.44210254884;"{""type"": ""LineString"", ""coordinates"": [[1.441631328659911, 43.61006319818455], [1.442573769016067, 43.60999494958144]]}";RUE SAINT CHARLES;CHARLES (RUE SAINT CHARLES);3241;3241;Toulouse;31555;315556163224;3105557728;76;Aire Pietonne;17/196;2017-10-27T02:00:00+02:00;2017;Centre;oui;oui;
43.6099650806,1.44047067034;"{""type"": ""LineString"", ""coordinates"": [[1.440492542276842, 43.60976561830916], [1.440448798410932, 43.61016454291925]]}";RUE GATIEN ARNOULT;ARNOULT (RUE GATIEN ARNOULT);3221;3221;Toulouse;31555;315553113632;3105553780;44;Aire Pietonne;17/196;2017-10-27T02:00:00+02:00;2017;Centre;oui;oui;
43.6105531058,1.44041106799;"{""type"": ""LineString"", ""coordinates"": [[1.440328290761696, 43.61021184486797], [1.440493845212805, 43.61089436677594]]}";RUE DE L HIRONDELLE;HIRONDELLE (RUE DE L HIRONDELLE);3229;3229;Toulouse;31555;315553459207;3105554236;77;Aire Pietonne;17/196;2017-10-27T02:00:00+02:00;2017;Centre;oui;oui;
43.6099116344,1.43915764098;"{""type"": ""LineString"", ""coordinates"": [[1.439156066775646, 43.60979950695936], [1.439159215191338, 43.610023761747996]]}";RUE ARNAUD BERNARD;BERNARD (RUE ARNAUD BERNARD);3240;3240;Toulouse;31555;315550284850;3105550524;25;Aire Pietonne;17/196;2017-10-27T02:00:00+02:00;2017;Centre;oui;oui;
43.6110616893,1.440535604;"{""type"": ""LineString"", ""coordinates"": [[1.440577362789534, 43.61122901182873], [1.440493845212805, 43.61089436677594]]}";RUE DE L HIRONDELLE;HIRONDELLE (RUE DE L HIRONDELLE);5317;5317;Toulouse;31555;315553459207;3105554236;38;Aire Pietonne;17/196;2017-10-27T02:00:00+02:00;2017;Centre;oui;oui;
43.6050051682,1.43835008143;"{""type"": ""LineString"", ""coordinates"": [[1.438810540343203, 43.60445870747823], [1.438765827805264, 43.60466176393923], [1.438755905348188, 43.60480171561144], [1.438798494316601, 43.60491370399024], [1.438204388014382, 43.605113353972186], [1.437591687956312, 43.605336506847436]]}";RUE DE LA BASTIDE;BASTIDE (RUE DE LA BASTIDE);3127;3127;Toulouse;31555;315550614448;3105550904;159;Aire Pietonne;18/122;2018-07-19T02:00:00+02:00;2018;Centre;oui;oui;
43.607650198,1.45670620377;"{""type"": ""LineString"", ""coordinates"": [[1.456888634600123, 43.60728664772427], [1.456726855762036, 43.607573957450654], [1.456596372734969, 43.60785773276525], [1.456593794305679, 43.60803368453489]]}";RUE GAZAN;GAZAN (RUE GAZAN);4211;4211;TOULOUSE;31555;315553139240;3105553800;87;Aire Pietonne;19/096;2019-06-28T02:00:00+02:00;2019;Est;;;
43.6042419007,1.44603105983;"{""type"": ""LineString"", ""coordinates"": [[1.445670929387358, 43.60426694580402], [1.445773414660266, 43.60429140583786], [1.446392225400809, 43.60417990325701]]}";RUE DU POIDS DE L HUILE;HUILE (RUE DU POIDS DE L HUILE);4693;4693;TOULOUSE;31555;315555456026;3105556972;60;Aire Pietonne;19/129;2019-09-11T02:00:00+02:00;2019;Centre;oui;oui;
